name,source_path,x0,x1,y0,y1
wall_path3_0075,path3,1038,1044,479,480
wall_path3_0076,path3,1057,1070,479,480
wall_path3_0077,path3,1058,1076,480,481
wall_path3_0078,path3,1064,1081,481,482
wall_path3_0079,path3,1070,1087,482,483
wall_path3_0080,path3,1075,1093,483,484
wall_path3_0081,path3,1081,1098,484,485
wall_path3_0082,path3,1087,1104,485,486
wall_path3_0083,path3,1092,1110,486,487
wall_path3_0084,path3,1098,1115,487,488
wall_path3_0085,path3,1104,1121,488,489
wall_path3_0086,path3,1109,1127,489,490
wall_path3_0087,path3,1115,1132,490,491
wall_path3_0088,path3,1121,1138,491,492
wall_path3_0089,path3,1126,1143,492,493
wall_path3_0090,path3,1132,1144,493,494
wall_path3_0091,path3,1138,1144,494,495
wall_path5_0000,path5,797,804,413,414
wall_path5_0001,path5,797,811,414,415
wall_path5_0002,path5,797,817,415,416
wall_path5_0003,path5,796,799,416,417
wall_path5_0004,path5,804,823,416,417
wall_path5_0005,path5,796,799,417,418
wall_path5_0006,path5,810,829,417,418
wall_path5_0007,path5,796,799,418,419
wall_path5_0008,path5,817,836,418,419
wall_path5_0009,path5,795,798,419,420
wall_path5_0010,path5,823,842,419,420
wall_path5_0011,path5,795,798,420,421
wall_path5_0012,path5,829,848,420,421
wall_path5_0013,path5,795,798,421,422
wall_path5_0014,path5,835,855,421,422
wall_path5_0015,path5,794,798,422,423
wall_path5_0016,path5,842,861,422,423
wall_path5_0017,path5,794,797,423,424
wall_path5_0018,path5,848,867,423,424
wall_path5_0019,path5,794,797,424,425
wall_path5_0020,path5,854,873,424,425
wall_path5_0021,path5,794,797,425,426
wall_path5_0022,path5,861,880,425,426
wall_path5_0023,path5,793,796,426,427
wall_path5_0024,path5,867,886,426,427
wall_path5_0025,path5,793,796,427,428
wall_path5_0026,path5,873,892,427,428
wall_path5_0027,path5,793,796,428,429
wall_path5_0028,path5,880,899,428,429
wall_path5_0029,path5,792,795,429,430
wall_path5_0030,path5,886,905,429,430
wall_path5_0031,path5,792,795,430,431
wall_path5_0032,path5,892,911,430,431
wall_path5_0033,path5,792,795,431,432
wall_path5_0034,path5,898,917,431,432
wall_path5_0035,path5,791,795,432,433
wall_path5_0036,path5,905,924,432,433
wall_path5_0037,path5,791,794,433,434
wall_path5_0038,path5,911,930,433,434
wall_path5_0039,path5,791,794,434,435
wall_path5_0040,path5,917,936,434,435
wall_path5_0041,path5,791,794,435,436
wall_path5_0042,path5,924,943,435,436
wall_path5_0043,path5,790,793,436,437
wall_path5_0044,path5,930,949,436,437
wall_path5_0045,path5,790,793,437,438
wall_path5_0046,path5,936,955,437,438
